Name,player,CF% rel,FF% rel,TK,GV,E+/-
Brian Dumoulin\\dumoubr01,Brian Dumoulin,5.1,6.1,13,13,7.5
Vince Dunn\\dunnvi02,Vince Dunn,6.6,5,13,31,10.9
Christian Dvorak\\dvorach01,Christian Dvorak,4.2,3.9,20,23,7.3
Ryan Dzingel\\dzingry01,Ryan Dzingel,-4.5,-3.9,15,19,-5
Cody Eakin\\eakinco01,Cody Eakin,-5.6,-5.9,23,21,0
Jordan Eberle\\eberljo01,Jordan Eberle,8.2,8.6,34,37,7.9
Alexander Edler\\edleral01,Alexander Edler,0.5,1.1,9,43,-1.1
Joel Edmundson\\edmunjo01,Joel Edmundson,-4.8,-5.1,23,45,-12.1
Nikolaj Ehlers\\ehlerni01,Nikolaj Ehlers,8.8,8.4,32,39,1.9
Christoffer Ehn\\ehnch01,Christoffer Ehn,-5.3,-5.8,6,12,-6.7
Jack Eichel\\eicheja01,Jack Eichel,4,3.6,44,67,-3.1
Aaron Ekblad\\ekblaaa01,Aaron Ekblad,4.9,4.9,37,74,-1.1
Mattias Ekholm\\ekholma01,Mattias Ekholm,-0.1,-0.7,51,50,-1.7
Oliver Ekman-Larsson\\ekmanol01,Oliver Ekman-Larsson,-0.6,-1.9,19,45,-6.2
Lars Eller\\ellerla01,Lars Eller,5.5,6,44,41,4.4
Ryan Ellis\\ellisry01,Ryan Ellis,2,3,24,36,5.2
Deryk Engelland\\engelde01,Deryk Engelland,-3.2,-2.3,15,17,5.6
Andreas Englund\\engluan01,Andreas Englund,-1.9,-1.5,4,5,-3.2
Pierre Engvall\\engvapi01,Pierre Engvall,1.1,0.1,15,23,0.2
Tyler Ennis\\ennisty01,Tyler Ennis,2.7,1.5,26,19,0.1
Jonathan Ericsson\\ericsjo01,Jonathan Ericsson,-2.1,0.1,1,20,-4.3
Loui Eriksson\\erikslo01,Loui Eriksson,0.4,-1.8,17,8,-2.9
Joel Eriksson Ek\\eriksjo02,Joel Eriksson Ek,-2.4,-2.5,19,18,5.3
Adam Erne\\ernead01,Adam Erne,-1.9,-2.4,5,27,-2.3
Jake Evans\\evansja02,Jake Evans,-9.5,-7.8,5,3,1.3
Robby Fabbri\\fabbrro01,Robby Fabbri,1.4,-0.3,13,39,-9.4
Dante Fabbro\\fabbrda01,Dante Fabbro,-0.5,-0.8,23,39,-5.6
Radek Faksa\\faksara01,Radek Faksa,-3.2,-3.8,34,27,-2.3
Oscar Fantenberg\\fanteos01,Oscar Fantenberg,-4.7,-4,7,11,-4.9
Joel Farabee\\farabjo01,Joel Farabee,-2.3,-3.6,20,26,-2.4
Jesper Fast\\fastje01,Jesper Fast,1.1,2.2,24,32,0.8
Justin Faulk\\faulkju01,Justin Faulk,-0.9,-0.4,24,39,2
Taylor Fedun\\fedunta01,Taylor Fedun,3.5,3.2,2,12,2.7
Martin Fehervary\\feherma01,Martin Fehervary,-2,1,2,2,0.2
Micheal Ferland\\ferlami01,Micheal Ferland,-11.5,-11.2,2,1,-2.9
Mario Ferraro\\ferrama01,Mario Ferraro,-1.7,-1.9,15,20,-2.7
Kevin Fiala\\fialake01,Kevin Fiala,3.1,2.8,33,35,2.6
Valtteri Filppula\\filppva01,Valtteri Filppula,-2.7,-3.6,17,43,-11.3
Christian Fischer\\fischch01,Christian Fischer,-5.5,-2.6,6,10,-0.6
Cale Fleury\\fleurca01,Cale Fleury,-5.9,-6.5,5,31,-3.8
Haydn Fleury\\fleurha01,Haydn Fleury,0,-0.7,17,26,-1.3
Warren Foegele\\foegewa01,Warren Foegele,0.2,0.7,39,30,8.7
Steven Fogarty\\fogarst01,Steven Fogarty,-5.4,-8,2,2,-0.7
Marcus Foligno\\foligma01,Marcus Foligno,2.1,2.8,31,17,8.7
Nick Foligno\\foligni01,Nick Foligno,2.1,3.6,39,35,5.1
Christian Folin\\folinch01,Christian Folin,0.5,-1,1,8,2.2
Derek Forbort\\forbode01,Derek Forbort,-6.5,-5.9,2,16,0.3
Filip Forsberg\\forsbfi01,Filip Forsberg,3.6,1.8,58,45,0.3
Liam Foudy\\foudyli01,Liam Foudy,11.2,10.3,1,0,0.8
Cam Fowler\\fowleca01,Cam Fowler,4.9,5.2,21,31,3.9
Adam Fox\\foxad01,Adam Fox,7.5,8.1,57,61,7.6
Trent Frederic\\fredetr01,Trent Frederic,-37.1,-44.7,0,0,-0.5
Mark Friedman\\friedma01,Mark Friedman,-19.7,-18.7,1,0,-2
Martin Frk\\frkma01,Martin Frk,2.8,1.4,2,10,-0.5
Michael Frolik\\frolimi01,Michael Frolik,-1.4,-1.9,32,28,-6.7
Morgan Frost\\frostmo01,Morgan Frost,-0.4,-1.4,10,6,1.1
Sam Gagner\\gagnesa01,Sam Gagner,3.4,4.6,12,21,1.1
Alex Galchenyuk\\galchal01,Alex Galchenyuk,-3.5,-4.4,5,20,-2.1
Brendan Gallagher\\gallabr01,Brendan Gallagher,8.1,8.8,39,18,19.7
Dylan Gambrell\\gambrdy01,Dylan Gambrell,-3.8,-4.3,11,17,-2.8
Jake Gardiner\\gardija01,Jake Gardiner,2,1.2,32,39,3.6
Rhett Gardner\\gardnrh01,Rhett Gardner,-3.3,-2.3,1,3,-0.8
Conor Garland\\garlaco01,Conor Garland,3.8,5.1,30,27,5.2
Adam Gaudette\\gaudead01,Adam Gaudette,-1.9,-2.7,23,15,-8.2
Johnny Gaudreau\\gaudrjo01,Johnny Gaudreau,1.8,0.7,40,71,4.2
Brendan Gaunce\\gauncbr01,Brendan Gaunce,-26.9,-21.5,0,0,-0.3
Cameron Gaunce\\gauncca01,Cameron Gaunce,0.7,3,0,0,0.5
Frederik Gauthier\\gauthfr01,Frederik Gauthier,-7.5,-6.6,7,13,-3.3
Julien Gauthier\\gauthju01,Julien Gauthier,-3.4,-5,3,7,-2.7
Vladislav Gavrikov\\gavrivl01,Vladislav Gavrikov,0.4,0.9,16,33,6.1
Morgan Geekie\\geekimo01,Morgan Geekie,-1.6,2.8,1,0,0.7
Nathan Gerbe\\gerbena01,Nathan Gerbe,-1.2,2.7,4,12,0.6
Timothy Gettinger\\gettiti01,Timothy Gettinger,3,15.5,0,0,0.5
Ryan Getzlaf\\getzlry01,Ryan Getzlaf,2.2,3.1,53,76,3.2
Brian Gibbons\\gibbobr02,Brian Gibbons,-11.7,-11.6,8,7,-1.3
Dennis Gilbert\\gilbede01,Dennis Gilbert,-7.6,-7.3,2,4,-7.6
John Gilmour\\gilmojo01,John Gilmour,0.3,2,0,3,0.2
Mark Giordano\\giordma01,Mark Giordano,3.4,4.5,36,51,4.2
Samuel Girard\\girarsa01,Samuel Girard,1.4,-0.2,38,39,4.4
Zemgus Girgensons\\girgeze01,Zemgus Girgensons,-0.7,0,13,11,-4.5
Claude Giroux\\giroucl01,Claude Giroux,6.6,5.7,37,35,8.4
Cody Glass\\glassco01,Cody Glass,-2.1,-3.2,18,17,-0.3
Luke Glendening\\glendlu01,Luke Glendening,-5.2,-3.8,10,18,-12.4
Nikolay Goldobin\\goldoni01,Nikolay Goldobin,-32.6,-31.4,0,0,-0.5
Alex Goligoski\\goligal01,Alex Goligoski,0.1,0.4,7,53,-2
Cody Goloubef\\golouco01,Cody Goloubef,-4.9,-5,3,21,-3.6
Barclay Goodrow\\goodrba01,Barclay Goodrow,1.3,2,44,23,-1.7
Shayne Gostisbehere\\gostish01,Shayne Gostisbehere,0.8,1.1,9,27,-2.3
Yanni Gourde\\gourdya01,Yanni Gourde,1.4,0.8,48,14,2.2
Michael Grabner\\grabnmi01,Michael Grabner,-8.3,-7,31,11,-3.1
Markus Granlund\\granlma01,Markus Granlund,2,2,11,7,0.5
Mikael Granlund\\granlmi01,Mikael Granlund,2.5,2.5,24,34,3.4
Derek Grant\\grantde01,Derek Grant,-9.1,-8.5,20,11,-6
Tyler Graovac\\graovty01,Tyler Graovac,-0.2,-4.4,1,2,-0.9
Kevin Gravel\\graveke01,Kevin Gravel,-7.5,-5.8,0,1,0.2
Ryan Graves\\gravery01,Ryan Graves,-1,-0.4,19,40,4.2
Mike Green\\greenmi03,Mike Green,-0.1,0.9,12,41,2.2
Andy Greene\\greenan01,Andy Greene,-3.8,-3.1,16,41,-6.5
Jordan Greenway\\greenjo02,Jordan Greenway,2.1,2.4,41,30,7
Noah Gregor\\gregono01,Noah Gregor,-4.3,-7.1,6,7,-4.1
Rocco Grimaldi\\grimaro01,Rocco Grimaldi,1.4,1.7,27,20,3.6
Jordan Gross\\grossjo01,Jordan Gross,-16.1,-20.3,1,2,-1.2
Carl Grundstrom\\grundca01,Carl Grundstrom,1.5,1.8,0,4,-0.7
Matt Grzelcyk\\grzelma01,Matt Grzelcyk,1.8,3.7,22,39,7.7
Radko Gudas\\gudasra01,Radko Gudas,-1.2,-2.3,23,34,-2.3
Erik Gudbranson\\gudbrer01,Erik Gudbranson,0.8,1.6,0,33,-4.5
Jake Guentzel\\guentja01,Jake Guentzel,5.2,7.6,21,12,14.1
Brendan Guhle\\guhlebr01,Brendan Guhle,-3.6,-2.4,6,25,-2.6
Carl Gunnarsson\\gunnaca01,Carl Gunnarsson,-3.6,-3.9,3,14,-2.1
Denis Gurianov\\guriade01,Denis Gurianov,0.1,0.9,26,25,2.9
Nikita Gusev\\gusevni01,Nikita Gusev,4.2,3.7,22,40,-3.6
David Gustafsson\\gustada01,David Gustafsson,-20.2,-19.3,0,1,-4.4
Erik Gustafsson\\gustaer02,Erik Gustafsson,0,-1,21,58,-7.3
Gaetan Haas\\haasga01,Gaetan Haas,1.1,1.1,22,22,0.1
Brandon Hagel\\hagelbr01,Brandon Hagel,-2.3,-6.6,1,0,0.3
